skipped,skip_reason,S_open,S_settle,iv_atm,long_K,short_K,debit,debit_usd,pop,breakeven,spread_width,armed,stopped,stop_time,stop_spot,pnl,winner,date
False,,4310.0,4353.5,0.21299999237060546,4300.0,4305.0,4.790667192851647,479.06671928516465,0.5838695309601183,4304.790667192851,5.0,True,True,10:46:00,4304.25,-294.4226531649571,False,2021-10-06
False,,4418.75,4391.25,0.21,4410.0,4415.0,4.567866560208342,456.78665602083424,0.5671307980360141,4414.567866560208,5.0,True,True,10:40:00,4413.75,-275.58742986067733,False,2021-10-07
False,,4394.25,4383.25,0.19540000915527345,4385.0,4390.0,4.616540048900193,461.6540048900193,0.5802007467989265,4389.6165400489,5.0,True,True,10:41:00,4389.25,-270.77336866033,False,2021-10-08
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-10-11
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-10-12
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-10-13
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-10-14
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-10-15
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-10-18
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-10-19
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-10-20
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-10-21
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-10-22
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-10-25
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-10-26
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-10-27
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-10-28
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-10-29
False,,4595.25,4605.75,0.16260000228881835,4585.0,4595.0,7.337431086018776,733.7431086018776,0.5593254179669912,4592.337431086019,10.0,True,True,10:39:00,4592.25,-253.08076136840353,False,2021-11-01
False,,4616.75,4624.0,0.1640999984741211,4610.0,4615.0,4.098419350542365,409.8419350542365,0.5535151982403705,4614.098419350542,5.0,True,False,,,90.15806494576353,True,2021-11-02
False,,4617.25,4652.25,0.16030000686645507,4610.0,4615.0,4.18025735061182,418.025735061182,0.5629953016421698,4614.180257350612,5.0,True,False,,,81.97426493881804,True,2021-11-03
False,,4671.5,4673.75,0.15100000381469728,4660.0,4670.0,7.710620252410958,771.0620252410959,0.5808893985633268,4667.710620252411,10.0,True,True,11:03:00,4667.0,-288.7220482014216,False,2021-11-04
False,,4705.0,4690.0,0.154399995803833,4695.0,4705.0,7.268750262564862,726.8750262564862,0.557540976748649,4702.268750262565,10.0,True,True,11:29:00,4701.75,-253.01680725251794,False,2021-11-05
False,,4698.75,4694.5,0.1647999954223633,4690.0,4695.0,4.472760339481351,447.2760339481351,0.5826948966770059,4694.472760339481,5.0,True,True,10:41:00,4693.5,-252.46030007964225,False,2021-11-08
True,no_viable_short,,,,,,,,,,,,,,,0.0,,2021-11-09
False,,4674.0,4641.25,0.17780000686645508,4665.0,4670.0,4.545850342522257,454.58503425222574,0.5800397395861526,4669.5458503425225,5.0,True,True,11:43:00,4669.5,-258.92190812433233,False,2021-11-10
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-11-11
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-11-12
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-11-15
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-11-16
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-11-17
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-11-18
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-11-19
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-11-22
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-11-23
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-11-24
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-11-29
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-11-30
True,no_viable_short,,,,,,,,,,,,,,,0.0,,2021-12-01
True,no_viable_short,,,,,,,,,,,,,,,0.0,,2021-12-02
True,no_viable_short,,,,,,,,,,,,,,,0.0,,2021-12-03
True,no_viable_short,,,,,,,,,,,,,,,0.0,,2021-12-06
False,,4679.25,4686.5,0.27180000305175783,4670.0,4675.0,4.916558584614556,491.65585846145564,0.5502881255782273,4674.916558584615,5.0,True,True,15:37:00,4674.25,-340.57183392491197,False,2021-12-07
False,,4678.0,4698.75,0.21889999389648437,4670.0,4675.0,4.501335622598155,450.13356225981556,0.551188371847987,4674.501335622598,5.0,True,True,10:57:00,4674.25,-275.65547286145363,False,2021-12-08
False,,4678.75,4667.0,0.19899999618530273,4670.0,4675.0,4.56010566155526,456.010566155526,0.5672321049619977,4674.560105661555,5.0,True,True,15:10:00,4673.25,-277.4448327265898,False,2021-12-09
False,,4698.0,4710.75,0.21579999923706056,4690.0,4695.0,4.492613145452896,449.2613145452896,0.5518639076820369,4694.492613145453,5.0,True,True,10:32:00,4694.0,-274.8121516557112,False,2021-12-10
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-12-13
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-12-14
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-12-15
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-12-16
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-12-20
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-12-21
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-12-22
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-12-23
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-12-27
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-12-28
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-12-29
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-12-30
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-12-31
True,no_viable_short,,,,,,,,,,,,,,,0.0,,2022-01-03
False,,4804.5,4783.5,0.16600000381469726,4795.0,4800.0,4.6182086110776375,461.82086110776373,0.5912052582508892,4799.6182086110775,5.0,True,True,10:37:00,4797.25,-278.2362312026338,False,2022-01-04
False,,4786.0,4692.25,0.1690999984741211,4775.0,4785.0,7.526393703191449,752.6393703191449,0.5648637835321015,4782.526393703191,10.0,True,True,10:32:00,4782.25,-281.0895067322191,False,2022-01-05
False,,4684.25,4687.25,0.1972999954223633,4675.0,4680.0,4.6427967183142975,464.27967183142977,0.5742548926009309,4679.6427967183145,5.0,True,False,,,35.72032816857025,True,2022-01-06
True,no_viable_short,,,,,,,,,,,,,,,0.0,,2022-01-07
False,,4588.75,4662.5,0.18760000228881835,4580.0,4585.0,4.5197127293565345,451.9712729356535,0.5734251249321135,4584.519712729357,5.0,True,True,10:38:00,4583.75,-264.0762561162886,False,2022-01-10
False,,4648.0,4705.25,0.19399999618530273,4640.0,4645.0,4.411388075775198,441.1388075775198,0.5598054079008301,4644.411388075775,5.0,True,True,10:32:00,4642.5,-264.3011725163821,False,2022-01-11
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2022-01-12
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2022-01-13
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2022-01-14
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2022-01-18
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2022-01-19
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2022-01-20
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2022-01-21
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2022-01-24
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2022-01-25
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2022-01-26
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2022-01-27
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2022-01-28
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2022-01-31
True,no_viable_short,,,,,,,,,,,,,,,0.0,,2022-02-01
True,no_viable_short,,,,,,,,,,,,,,,0.0,,2022-02-02
False,,4529.5,4471.75,0.2209000015258789,4520.0,4525.0,4.743704655107427,474.3704655107427,0.5705055334550894,4524.743704655108,5.0,True,True,10:47:00,4524.5,-296.6794466103421,False,2022-02-03
False,,4465.0,4491.25,0.24350000381469727,4455.0,4460.0,4.896874903525369,489.6874903525369,0.5692960077703169,4459.896874903526,5.0,True,True,10:38:00,4458.5,-324.25013620728794,False,2022-02-04
True,no_viable_short,,,,,,,,,,,,,,,0.0,,2022-02-07
True,no_viable_short,,,,,,,,,,,,,,,0.0,,2022-02-08
False,,4564.25,4579.5,0.21440000534057618,4555.0,4560.0,4.683479622129262,468.3479622129262,0.5693577787351315,4559.683479622129,5.0,True,False,,,31.652037787073795,True,2022-02-09
False,,4564.25,4498.25,0.19959999084472657,4555.0,4560.0,4.639512401958967,463.95124019589673,0.5753007572645004,4559.639512401959,5.0,True,True,10:58:00,4556.75,-292.32132781974195,False,2022-02-10
True,no_viable_short,,,,,,,,,,,,,,,0.0,,2022-02-11
True,no_viable_short,,,,,,,,,,,,,,,0.0,,2022-02-14
True,no_viable_short,,,,,,,,,,,,,,,0.0,,2022-02-15
True,no_viable_short,,,,,,,,,,,,,,,0.0,,2022-02-16
False,,4403.75,4375.0,0.24290000915527343,4395.0,4400.0,4.673734283534172,467.3734283534172,0.5565356599606155,4399.673734283534,5.0,True,True,14:10:00,4399.5,-296.7670140185044,False,2022-02-17
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2022-02-18
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2022-02-22
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2022-02-23
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2022-02-24
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2022-02-25
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2022-02-28
True,no_viable_short,,,,,,,,,,,,,,,0.0,,2022-03-01
True,no_viable_short,,,,,,,,,,,,,,,0.0,,2022-03-02
True,no_viable_short,,,,,,,,,,,,,,,0.0,,2022-03-03
True,no_viable_short,,,,,,,,,,,,,,,0.0,,2022-03-04
True,no_viable_short,,,,,,,,,,,,,,,0.0,,2022-03-07
True,no_viable_short,,,,,,,,,,,,,,,0.0,,2022-03-08
True,no_viable_short,,,,,,,,,,,,,,,0.0,,2022-03-09
True,no_viable_short,,,,,,,,,,,,,,,0.0,,2022-03-10
False,,4259.5,4204.0,0.3022999954223633,4250.0,4255.0,4.9964063544944,499.64063544944,0.5512347077780844,4254.996406354494,5.0,True,True,10:32:00,4253.75,-351.68712920557965,False,2022-03-11
True,no_viable_short,,,,,,,,,,,,,,,0.0,,2022-03-14
True,no_viable_short,,,,,,,,,,,,,,,0.0,,2022-03-15
True,no_viable_short,,,,,,,,,,,,,,,0.0,,2022-03-16
True,no_viable_short,,,,,,,,,,,,,,,0.0,,2022-03-17
False,,4438.25,4453.0,0.238700008392334,4430.0,4435.0,4.58013651209493,458.01365120949293,0.5515664814884406,4434.580136512095,5.0,True,True,12:55:00,4434.0,-288.2153455801701,False,2022-03-21
False,,4494.25,4505.25,0.23530000686645508,4485.0,4490.0,4.744456596829856,474.4456596829856,0.5631610925934025,4489.74445659683,5.0,True,True,12:23:00,4489.25,-303.42846346550056,False,2022-03-22
False,,4483.75,4446.5,0.22940000534057617,4475.0,4480.0,4.637790883041188,463.7790883041188,0.5594512628688704,4479.637790883041,5.0,True,True,10:44:00,4479.5,-288.9798228967722,False,2022-03-23
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2022-03-24
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2022-03-25
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2022-03-28
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2022-03-29
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2022-03-30
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2022-03-31
False,,4520.75,4538.25,0.20559999465942383,4510.0,4520.0,7.47540038593494,747.5400385934939,0.5529653837736754,4517.475400385935,10.0,True,True,11:41:00,4516.0,-312.76463601670616,False,2022-04-01
False,,4558.5,4578.0,0.196299991607666,4550.0,4555.0,4.4969911506773705,449.69911506773707,0.5668993943000081,4554.496991150678,5.0,True,True,10:44:00,4553.5,-266.5618030839002,False,2022-04-04
False,,4553.75,4521.25,0.18569999694824219,4545.0,4550.0,4.512361807541314,451.2361807541314,0.574862213935521,4549.512361807541,5.0,True,True,10:39:00,4548.75,-261.879597038101,False,2022-04-05
False,,4459.0,4475.75,0.21030000686645509,4450.0,4455.0,4.6166968003195095,461.669680031951,0.5695421762769978,4454.61669680032,5.0,True,True,14:15:00,4453.75,-281.3559492831926,False,2022-04-06
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2022-04-07
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2022-04-08
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2022-04-11
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2022-04-12
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2022-04-13
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2022-04-14
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2022-04-18
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2022-04-19
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2022-04-20
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2022-04-21
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2022-04-22
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2022-04-25
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2022-04-26
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2022-04-27
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2022-04-28
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2022-04-29
True,no_viable_short,,,,,,,,,,,,,,,0.0,,2022-05-02
True,no_viable_short,,,,,,,,,,,,,,,0.0,,2022-05-03
False,,4159.25,4296.75,0.2925,4150.0,4155.0,4.896438191009581,489.6438191009581,0.5525232584968125,4154.89643819101,5.0,True,True,10:34:00,4151.75,-341.1261584624867,False,2022-05-04
True,no_viable_short,,,,,,,,,,,,,,,0.0,,2022-05-05
False,,4099.5,4119.0,0.3120000076293945,4090.0,4095.0,4.999492120978864,499.9492120978864,0.5514335839827563,4094.999492120979,5.0,True,True,10:35:00,4094.25,-350.4198700862128,False,2022-05-06
True,no_viable_short,,,,,,,,,,,,,,,0.0,,2022-05-09
True,no_viable_short,,,,,,,,,,,,,,,0.0,,2022-05-10
True,no_viable_short,,,,,,,,,,,,,,,0.0,,2022-05-11
True,no_viable_short,,,,,,,,,,,,,,,0.0,,2022-05-12
True,no_viable_short,,,,,,,,,,,,,,,0.0,,2022-05-13
