date,session_open_price,signal_price,eow_price,confirmation_return,entered,skip_reason,forward_return
2022-03-30,4614.0,4611.75,4582.0,-0.0004876462938881998,False,no_signal,
2022-03-31,4589.25,4581.5,4541.25,-0.00168872909516804,False,no_signal,
2022-04-04,4541.25,4558.5,4575.25,0.003798513625103306,False,no_signal,
2022-04-05,4562.25,4553.75,4518.75,-0.0018631157871664694,False,no_signal,
2022-04-06,4477.75,4459.0,4476.0,-0.004187370889397579,False,no_signal,
2022-04-07,4466.0,4466.0,4501.75,0.0,False,no_signal,
2022-04-08,4489.25,4483.5,4481.75,-0.0012808375563847507,False,no_signal,
2022-04-11,4450.5,4436.75,4405.0,-0.003089540501067245,False,no_signal,
2022-04-13,4389.25,4401.5,4442.0,0.002790909608703096,False,no_signal,
2022-04-14,4444.0,4421.5,4392.5,-0.005063006300630057,False,no_signal,
2022-04-18,4376.25,4396.0,4373.5,0.0045129962867751505,False,no_signal,
2022-04-19,4386.75,4435.75,4458.25,0.011170000569898031,True,,0.00507242292735155
2022-04-20,4477.5,4467.0,4458.0,-0.0023450586264656126,False,no_signal,
2022-04-21,4494.5,4496.25,4395.5,0.00038936477917461687,False,no_signal,
2022-04-22,4377.25,4337.25,4272.5,-0.009138157518990275,False,no_signal,
2022-04-25,4244.0,4234.0,4293.25,-0.0023562676720075837,False,no_signal,
2022-04-26,4265.75,4231.75,4178.5,-0.007970462404032097,False,no_signal,
2022-04-27,4179.25,4166.0,4180.75,-0.0031704253155470097,False,no_signal,
2022-04-28,4229.75,4191.25,4278.75,-0.009102192800993003,False,no_signal,
2022-04-29,4242.5,4218.5,4125.5,-0.005657041838538546,False,no_signal,
2022-05-02,4127.0,4150.75,4148.0,0.0057547855585171614,True,,-0.0006625308679154562
2022-05-03,4156.0,4163.5,4172.75,0.001804619826756504,False,no_signal,
2022-05-05,4251.0,4186.0,4129.0,-0.015290519877675823,False,no_signal,
2022-05-09,4055.5,4029.0,3978.5,-0.006534336086795656,False,no_signal,
2022-05-10,4050.0,4029.75,3998.5,-0.0050000000000000044,False,no_signal,
2022-05-12,3897.0,3923.5,3907.0,0.0068001026430588585,True,,-0.004205428826303037
