skipped,skip_reason,pnl,pop_computed,date
True,pop_below_threshold,0.0,0.07680355891405255,2022-03-09
True,pop_below_threshold,0.0,0.08899613107434656,2022-03-10
True,pop_below_threshold,0.0,0.09880766117113249,2022-03-11
True,pop_below_threshold,0.0,0.097093537444778,2022-03-14
True,pop_below_threshold,0.0,0.09248641965661175,2022-03-15
True,pop_below_threshold,0.0,0.09815580229322718,2022-03-16
True,pop_below_threshold,0.0,0.11508543333061533,2022-03-17
True,pop_below_threshold,0.0,0.13167498543280848,2022-03-21
True,pop_below_threshold,0.0,0.1319483604432864,2022-03-22
True,pop_below_threshold,0.0,0.13705034607245214,2022-03-23
True,pop_below_threshold,0.0,0.13299269858984836,2022-03-24
True,pop_below_threshold,0.0,0.14600822246441125,2022-03-25
True,pop_below_threshold,0.0,0.15325481573176902,2022-03-28
True,pop_below_threshold,0.0,0.16249068618911927,2022-03-29
True,pop_below_threshold,0.0,0.16954709048778288,2022-03-30
True,pop_below_threshold,0.0,0.16619172162862605,2022-03-31
True,pop_below_threshold,0.0,0.15620306191864802,2022-04-01
True,pop_below_threshold,0.0,0.16407758038727682,2022-04-04
True,pop_below_threshold,0.0,0.17568619574255218,2022-04-05
True,pop_below_threshold,0.0,0.15452846032599576,2022-04-06
True,pop_below_threshold,0.0,0.14462118907244093,2022-04-07
True,pop_below_threshold,0.0,0.14884603953591885,2022-04-08
True,pop_below_threshold,0.0,0.15439180210787046,2022-04-11
True,pop_below_threshold,0.0,0.12745625876731725,2022-04-12
True,pop_below_threshold,0.0,0.13015058583269845,2022-04-13
True,pop_below_threshold,0.0,0.14902563668705116,2022-04-14
True,pop_below_threshold,0.0,0.14247296366667794,2022-04-18
True,pop_below_threshold,0.0,0.14521116227276232,2022-04-19
True,pop_below_threshold,0.0,0.15119781628110446,2022-04-20
True,pop_below_threshold,0.0,0.15974108648113255,2022-04-21
True,pop_below_threshold,0.0,0.14530042506170077,2022-04-22
