S0,S_close,prior_vix,sigma_daily_pct,short_call_K,long_call_K,short_put_K,long_put_K,wing_width_pts,net_credit_per_share,max_loss_per_contract,pnl_per_share,pnl_per_contract,pnl_total,winner,date,skipped,skip_reason
4089.0,4135.5,22.329999923706055,1.406657775576607,4232.795591108318,4275.1235470194015,3945.2044088916814,3905.7523648027645,42.327955911083336,3.659698131076181e-08,4232.795587448635,3.659698131076181e-08,3.659698131076181e-06,3.659698131076181e-06,True,2022-07-29,False,
4105.0,4120.0,21.329999923706055,1.343663696741736,4242.893486878121,4285.322421746902,3967.1065131218793,3927.4354479906606,42.42893486878165,3.461187500263849e-08,4242.893483416978,3.461187500263849e-08,3.461187500263849e-06,3.461187500263849e-06,True,2022-08-01,False,
4103.75,4097.0,22.84000015258789,1.4387847702005918,4251.360325017767,4293.873928267944,3956.1396749822334,3916.578278232411,42.513603250177766,3.784140909948696e-08,4251.360321233636,3.784140909948696e-08,3.784140909948696e-06,3.784140909948696e-06,True,2022-08-02,False,
4115.75,4165.75,23.93000030517578,1.507448325742735,4270.857011166892,4313.565581278562,3960.6429888331086,3921.0365589447774,42.70857011166936,4.040120656502231e-08,4270.857007126815,4.040120656502231e-08,4.040120656502231e-06,4.040120656502231e-06,True,2022-08-03,False,
4155.75,4151.0,21.950000762939453,1.382720078486091,4299.405974154215,4342.400033895758,4012.094025845786,3971.973085587328,42.994059741542515,3.63673107535618e-08,4299.4059705175205,3.63673107535618e-08,3.63673107535618e-06,3.63673107535618e-06,True,2022-08-04,False,
4108.0,4145.0,21.440000534057617,1.3505930838621063,4246.7059097126385,4289.172968809765,3969.2940902873615,3929.601149384488,42.467059097126366,3.486806100164645e-08,4246.70590622583,3.486806100164645e-08,3.486806100164645e-06,3.486806100164645e-06,True,2022-08-05,False,
4164.25,4143.5,21.149999618530273,1.332324743327192,4302.953332810007,4345.982866138107,4025.5466671899935,3985.2912005180933,43.029533328100115,3.4730254699735376e-08,4302.953329336986,3.4730254699735376e-08,3.4730254699735377e-06,3.4730254699735377e-06,True,2022-08-08,False,
4133.5,4123.0,21.290000915527344,1.3411439960672094,4272.090467693596,4314.811372370532,3994.909532306405,3954.9604369833405,42.72090467693579,3.4767903407894774e-08,4272.090464216789,3.4767903407894774e-08,3.4767903407894775e-06,3.4767903407894775e-06,True,2022-08-09,False,
4199.0,4210.25,21.770000457763672,1.3713811250715469,4342.9607336043855,4386.390340940429,4055.039266395614,4014.488873731658,43.42960733604377,3.635356674572328e-08,4342.960729969021,3.635356674572328e-08,3.6353566745723276e-06,3.6353566745723276e-06,True,2022-08-10,False,
4240.5,4212.0,19.739999771118164,1.2435031017821572,4372.326872577681,4416.050141303457,4108.673127422319,4067.586396148096,43.72326872577651,3.240189388918554e-08,4372.326869337461,3.240189388918554e-08,3.240189388918554e-06,3.240189388918554e-06,True,2022-08-11,False,
4231.0,4276.75,20.200000762939453,1.2724804405250663,4365.596618596539,4409.2525847825045,4096.403381403461,4055.4393475894262,43.65596618596555,3.327964678138782e-08,4365.5966152685905,3.327964678138782e-08,3.327964678138782e-06,3.327964678138782e-06,True,2022-08-12,False,
4258.25,4297.5,19.530000686645508,1.2302744028996357,4389.220399403684,4433.112603397721,4127.2796005963155,4086.006804590352,43.89220399403712,3.210546412519858e-08,4389.2203961931655,3.210546412519858e-08,3.2105464125198582e-06,3.2105464125198582e-06,True,2022-08-15,False,
4287.75,4309.75,19.950000762939453,1.2567319208163488,4422.463807337008,4466.688445410378,4153.036192662992,4111.505830736362,44.22463807337044,3.320087042433305e-08,4422.4638040169575,3.320087042433305e-08,3.320087042433305e-06,3.320087042433305e-06,True,2022-08-16,False,
4269.25,4277.5,19.690000534057617,1.2403534459010817,4401.63447372283,4445.650818460059,4136.86552627717,4095.496871014398,44.01634473722879,3.251817958197337e-08,4401.634470471061,3.251817958197337e-08,3.251817958197337e-06,3.251817958197337e-06,True,2022-08-17,False,
4277.5,4284.75,19.899999618530273,1.2535821447836029,4411.554940607797,4455.670490013875,4143.445059392204,4102.010608798281,44.11554940607766,3.301721698498095e-08,4411.554937306045,3.301721698498095e-08,3.301721698498095e-06,3.301721698498095e-06,True,2022-08-18,False,
4259.0,4232.0,19.559999465942383,1.232164148367613,4390.194677697442,4434.096624474417,4127.805322302558,4086.5272690795323,43.90194677697491,3.217267613105812e-08,4390.1946744802235,3.217267613105812e-08,3.217267613105812e-06,3.217267613105812e-06,True,2022-08-19,False,
4178.75,4139.75,20.600000381469727,1.297678048028681,4314.316803579996,4357.459971615796,4043.1831964200037,4002.7513644558035,43.143168035800045,3.3696057835243176e-08,4314.3168002103985,3.3696057835243176e-08,3.3696057835243174e-06,3.3696057835243174e-06,True,2022-08-22,False,
4137.0,4132.75,23.799999237060547,1.4992590282092666,4292.060864992543,4334.981473642469,3981.9391350074566,3942.119743657382,42.92060864992527,4.031143047612256e-08,4292.060860961384,4.031143047612256e-08,4.031143047612256e-06,4.031143047612256e-06,True,2022-08-23,False,
4128.5,4147.5,24.110000610351562,1.5187872791572792,4285.257832050021,4328.110410370521,3971.742167949979,3932.024746270479,42.85257832050047,4.094080804297057e-08,4285.257827955967,4.094080804297057e-08,4.094080804297057e-06,4.094080804297057e-06,True,2022-08-24,False,
4158.75,4194.0,22.81999969482422,1.4375248597874937,4308.207662766032,4351.289739393692,4009.292337233969,3969.1994138616296,43.08207662766017,3.830400336773591e-08,4308.207658935617,3.830400336773591e-08,3.830400336773591e-06,3.830400336773591e-06,True,2022-08-25,False,
4200.75,4059.75,21.780000686645508,1.3720110802780958,4344.836888636955,4388.285257523325,4056.6631113630447,4016.096480249414,43.44836888636928,3.6390456986621055e-08,4344.836884997882,3.6390456986621055e-08,3.6390456986621055e-06,3.6390456986621055e-06,True,2022-08-26,False,
