date,close,contribution,shares_bought,cum_contributed,cum_shares,market_value,pnl_dollars,mode
2023-05-04,389.85906982421875,0.0,0.0,26000.0,65.65141000262544,25594.797636271964,-405.2023637280363,monthly_dca
2023-05-05,397.07635498046875,0.0,0.0,26000.0,65.65141000262544,26068.622583170796,68.62258317079613,monthly_dca
2023-05-08,397.1821594238281,0.0,0.0,26000.0,65.65141000262544,26075.56879406188,75.56879406188091,monthly_dca
2023-05-09,395.44036865234375,0.0,0.0,26000.0,65.65141000262544,25961.217773984372,-38.78222601562811,monthly_dca
2023-05-10,397.2880554199219,0.0,0.0,26000.0,65.65141000262544,26082.52101551907,82.5210155190689,monthly_dca
2023-05-11,396.59521484375,0.0,0.0,26000.0,65.65141000262544,26037.035054786353,37.0350547863527,monthly_dca
2023-05-12,396.0755615234375,0.0,0.0,26000.0,65.65141000262544,26002.919081595293,2.9190815952933917,monthly_dca
2023-05-15,397.4420166015625,0.0,0.0,26000.0,65.65141000262544,26092.628784179447,92.6287841794474,monthly_dca
2023-05-16,394.7860412597656,0.0,0.0,26000.0,65.65141000262544,25918.260258058275,-81.73974194172479,monthly_dca
2023-05-17,399.5782775878906,0.0,0.0,26000.0,65.65141000262544,26232.877330065487,232.8773300654866,monthly_dca
2023-05-18,403.427490234375,0.0,0.0,26000.0,65.65141000262544,26485.583567707123,485.5835677071227,monthly_dca
2023-05-19,402.8404846191406,0.0,0.0,26000.0,65.65141000262544,26447.045821387528,447.0458213875281,monthly_dca
2023-05-22,403.00408935546875,0.0,0.0,26000.0,65.65141000262544,26457.786703010577,457.7867030105772,monthly_dca
2023-05-23,398.4812316894531,0.0,0.0,26000.0,65.65141000262544,26160.854719995466,160.85471999546644,monthly_dca
2023-05-24,395.5943908691406,0.0,0.0,26000.0,65.65141000262544,25971.329549688817,-28.67045031118323,monthly_dca
2023-05-25,399.0201416015625,0.0,0.0,26000.0,65.65141000262544,26196.23491558984,196.23491558984097,monthly_dca
2023-05-26,404.1877136230469,0.0,0.0,26000.0,65.65141000262544,26535.493305090407,535.4933050904074,monthly_dca
2023-05-30,404.3417053222656,0.0,0.0,26000.0,65.65141000262544,26545.60307727282,545.6030772728191,monthly_dca
2023-05-31,402.0995788574219,0.0,0.0,26000.0,65.65141000262544,26398.404313451625,398.40431345162506,monthly_dca
2023-06-01,405.919921875,1000.0,2.4635400878598475,27000.0,68.11495009048528,27649.21521924931,649.2152192493086,monthly_dca
2023-06-02,411.7899475097656,0.0,0.0,27000.0,68.11495009048528,28049.05172239124,1049.0517223912393,monthly_dca
2023-06-05,411.0008850097656,0.0,0.0,27000.0,68.11495009048528,27995.304769585466,995.3047695854657,monthly_dca
2023-06-06,411.8958435058594,0.0,0.0,27000.0,68.11495009048528,28056.264822879948,1056.264822879948,monthly_dca
2023-06-07,410.47161865234375,0.0,0.0,27000.0,68.11495009048528,27959.253818065103,959.2538180651027,monthly_dca
2023-06-08,412.954345703125,0.0,0.0,27000.0,68.11495009048528,28128.364647217364,1128.364647217364,monthly_dca
2023-06-09,413.6953125,0.0,0.0,27000.0,68.11495009048528,28178.83556360521,1178.835563605211,monthly_dca
2023-06-12,417.44830322265625,0.0,0.0,27000.0,68.11495009048528,28434.470339368996,1434.470339368996,monthly_dca
2023-06-13,420.20050048828125,0.0,0.0,27000.0,68.11495009048528,28621.936118756214,1621.9361187562135,monthly_dca
