date,ratio,regime,target_in_position,in_position,suspended,flip,svxy_return,strategy_return,strategy_nav,spy_return,spy_nav,monthly_dd
2025-03-18,0.9877105799338409,gray,False,False,False,False,-0.013868097418271108,0.0,0.8437100703112618,-0.010808554653462754,1.4188493428618452,0.0
2025-03-19,0.9553528416427226,gray,False,False,False,False,0.01622674124171275,0.0,0.8437100703112618,0.010891006057181185,1.434302039649181,0.0
2025-03-20,0.9560598798821588,gray,False,False,False,False,0.009580518129598037,0.0,0.8437100703112618,-0.002891801677825878,1.4301543226044144,0.0
2025-03-21,0.9474201634021325,gray,False,False,False,False,0.0002109265418954731,0.0,0.8437100703112618,0.000329920251935123,1.430626159478834,0.0
2025-03-24,0.9180671587038204,gray,False,False,False,False,0.03120386954909682,0.0,0.8437100703112618,0.01790844377492129,1.4562464476187924,0.0
2025-03-25,0.9002624832218393,contango,True,True,False,True,-0.0030668887006108925,-0.001,0.8428663602409505,0.0024037742901859005,1.459746935389753,-0.0010000000000000009
2025-03-26,0.9238911180812227,contango,True,True,False,False,-0.016406875812119415,-0.016406875812119415,0.8290375565422642,-0.011938126986071662,1.4423202911075412,-0.017390468936307246
2025-03-27,0.9396682306478427,contango,True,True,False,False,-0.0022935907516974385,-0.0022935907516974385,0.827136083669769,-0.002655751809027329,1.4384898463852356,-0.019644173069284676
2025-03-28,0.9836437707129524,gray,False,False,False,True,-0.04409606819100431,-0.04509606819100431,0.7898354984373568,-0.020138283935378976,1.40952112942057,-0.0638543662920007
2025-03-31,1.0141102131533788,gray,False,False,False,False,0.00043718063691766673,0.0,0.7898354984373568,0.00671277169810125,1.4189829229660202,-0.0638543662920007
2025-04-01,0.9977085592227388,backwardation,False,False,False,False,-0.0013111355068716746,0.0,0.7898354984373568,0.002824468752555598,1.4229907958923478,0.0
2025-04-02,1.002797177799921,gray,False,False,False,False,0.01641137828181871,0.0,0.7898354984373568,0.006328434120566051,1.4319960993983243,0.0
2025-04-03,1.0964207953950555,backwardation,False,False,False,False,-0.12465017912651888,0.0,0.7898354984373568,-0.049280801061123425,1.3614261845035707,0.0
2025-04-04,1.2342686598555632,backwardation,False,False,False,False,-0.09862268412645914,0.0,0.7898354984373568,-0.05854306726048053,1.2817241198139988,0.0
2025-04-07,1.2738611220608964,backwardation,False,False,False,False,-0.0024556657255345726,0.0,0.7898354984373568,-0.0017811932094612404,1.2794411215153834,0.0
2025-04-08,1.2609638995434864,backwardation,False,False,False,False,-0.0661926119458659,0.0,0.7898354984373568,-0.015662714676747957,1.2594016002833894,0.0
2025-04-09,1.1236630630399758,backwardation,False,False,False,False,0.10691275896699692,0.0,0.7898354984373568,0.1050192812545172,1.3916630511559398,0.0
2025-04-10,1.1402968990388158,backwardation,False,False,False,False,-0.09552793127528791,0.0,0.7898354984373568,-0.04381910665097133,1.3306816194951214,0.0
2025-04-11,1.1076379104188483,backwardation,False,False,False,False,0.013165616118245405,0.0,0.7898354984373568,0.017842825299162257,1.3544247391605793,0.0
2025-04-14,1.0425244773732636,backwardation,False,False,False,False,0.05573203134991478,0.0,0.7898354984373568,0.009701552505080091,1.367564761881725,0.0
2025-04-15,1.038620718594255,backwardation,False,False,False,False,0.004102781880397366,0.0,0.7898354984373568,-0.0028009238239182777,1.3637343171594194,0.0
2025-04-16,1.05494501700863,backwardation,False,False,False,False,-0.04195044821395055,0.0,0.7898354984373568,-0.02222803272207108,1.3334211861333887,0.0
2025-04-17,1.0102214389492803,backwardation,False,False,False,False,0.013932377138974772,0.0,0.7898354984373568,0.0014268092873082061,1.3353237238656572,0.0
2025-04-21,1.0625196285230296,backwardation,False,False,False,False,-0.03028597927590282,0.0,0.7898354984373568,-0.02380270230206527,1.3035394107895977,0.0
2025-04-22,1.0380305230176496,backwardation,False,False,False,False,0.032388631364355325,0.0,0.7898354984373568,0.026017758916625056,1.337454584917841,0.0
2025-04-23,1.0153461919397164,backwardation,False,False,False,False,0.0182072184115023,0.0,0.7898354984373568,0.015495355748962103,1.3581789195092233,0.0
2025-04-24,1.001134598286344,backwardation,False,False,False,False,0.018431967311348885,0.0,0.7898354984373568,0.021049134902774158,1.386767410808077,0.0
2025-04-25,0.9791091577014893,backwardation,False,False,False,False,0.021339840782245822,0.0,0.7898354984373568,0.007225263975707552,1.3967871714240738,0.0
2025-04-28,0.9774582225408138,gray,False,False,False,False,-0.0042316805501396715,0.0,0.7898354984373568,0.0003814141653319947,1.3973199258372089,0.0
2025-04-29,0.9583664050099894,gray,False,False,False,False,0.006108885336385317,0.0,0.7898354984373568,0.006299227600181201,1.4061219620803258,0.0
2025-04-30,0.9671104102397583,gray,False,False,False,False,-0.012407634832374392,0.0,0.7898354984373568,0.000396812712974981,1.4066799291508727,0.0
2025-05-01,0.965084370433896,gray,False,False,False,False,0.008019225829569265,0.0,0.7898354984373568,0.007087027044478056,1.4166491078516894,0.0
2025-05-02,0.9450000127156576,gray,False,False,False,False,0.021479750542463982,0.0,0.7898354984373568,0.014844129127253636,1.4376780301366485,0.0
2025-05-05,0.9629327952874891,gray,False,False,False,False,-0.009086248303712519,0.0,0.7898354984373568,-0.0057344033922135385,1.429433804363722,0.0
2025-05-06,0.9744195347330364,gray,False,False,False,False,-0.01991088179175049,0.0,0.7898354984373568,-0.008358212160090583,1.4174862933580445,0.0
2025-05-07,0.9534412352082029,gray,False,False,False,False,0.013632673713268817,0.0,0.7898354984373568,0.004205436907619653,1.4234474425321775,0.0
2025-05-08,0.9461279177476781,gray,False,False,False,False,0.01951481313817216,0.0,0.7898354984373568,0.006967900527213189,1.4333658827174578,0.0
2025-05-09,0.9366980498134543,gray,False,False,False,False,0.0028453339572096503,0.0,0.7898354984373568,-0.0012743337771213836,1.4315392961581375,0.0
2025-05-12,0.9094955496612004,gray,False,False,False,False,0.06603047054590316,0.0,0.7898354984373568,0.03304751134241157,1.4788481072850315,0.0
2025-05-13,0.9069188240403018,contango,True,True,False,True,0.0036292694056678787,-0.001,0.7890456629389194,0.006603834423700716,1.488614175323345,-0.0010000000000000009
2025-05-14,0.9047619488951049,contango,True,True,False,False,-0.010848620248446461,-0.010848620248446461,0.7804856061830114,0.0012780596636838837,1.4905167130556138,-0.01183777162819799
2025-05-15,0.8804938233928916,contango,True,True,False,False,0.009017859068734202,0.009017859068734202,0.7875239153847454,0.004884342398821628,1.4977969070333437,-0.0029266639156947383
2025-05-16,0.8585657289154148,contango,True,True,False,False,0.0019323191644671223,0.0019323191644671223,0.7890456629389195,0.006333973690500372,1.5072839132362057,-0.0009999999999998899
2025-05-19,0.8767520020015637,contango,True,True,False,False,-0.005785869489346451,-0.005785869489346451,0.7844803477120201,0.001093918100038005,1.508932758390791,-0.006780083619856936
2025-05-20,0.8730695343666585,contango,True,True,False,False,0.005092121142718176,0.005092121142718176,0.7884750166766514,-0.003362128049795521,1.50385953323855,-0.001722487484288826
2025-05-21,0.9210062215254985,contango,True,True,False,False,-0.035464443755027775,-0.035464443755027775,0.7605121887954778,-0.01685079340484308,1.4785183069340435,-0.03712584417881126
2025-05-22,0.9086021937244128,contango,True,True,False,False,0.003751914146983504,0.003751914146983504,0.7633655652355729,0.0003946470773714683,1.4791017998627152,-0.033513223011821025
2025-05-23,0.936554690338734,contango,True,True,False,False,-0.032394697295272334,-0.032394697295272334,0.738636568824132,-0.006825886893621624,1.4690056182727,-0.06482226959223647
2025-05-27,0.890558866563723,gray,False,False,False,True,0.05021882194923455,0.04921882194923455,0.7749913905902805,0.020790776540780653,1.499547385819359,-0.018793923388407352
2025-05-28,0.8910936501133979,contango,True,True,False,True,-0.00416866537601801,-0.001,0.7742163991996903,-0.00578541447708103,1.4908718826643708,-0.019775129465018915
2025-05-29,0.887141515294033,contango,True,True,False,False,-0.000738704231617926,-0.000738704231617926,0.7736444822694135,0.003947277340796251,1.496756767464842,-0.020499225724820214
2025-05-30,0.8685687756667981,contango,True,True,False,False,-0.0036964396035121805,-0.0036964396035121805,0.7707847521661142,-0.0011183521919033712,1.4950828662532016,-0.02411989117852187
2025-06-02,0.8705547879334018,contango,True,True,False,False,0.0064308266032815364,0.0064308266032815364,0.7757415352557478,0.005632901136813695,1.50350452023015,0.0064308266032815364
2025-06-03,0.8537645328325868,contango,True,True,False,False,0.011059247434922925,0.011059247434922925,0.7843206528396881,0.005702485631296383,1.5120782331533515,0.017561194140821135
2025-06-04,0.8523717686550423,contango,True,True,False,False,0.0009723120107145711,0.0009723120107145711,0.7850832572306956,-0.0002683402981673577,1.5116724816294147,0.018550581111521414
2025-06-05,0.875414448504299,contango,True,True,False,False,-0.008984918143341125,-0.008984918143341125,0.7780293484287701,-0.004832768555542821,1.5043669183939168,0.009398987515381707
2025-06-06,0.8376623413742399,contango,True,True,False,False,0.020828190284683412,0.020828190284683412,0.7942342917449128,0.010268874692809238,1.5198150737709115,0.030422941700518846
